Contract_Name,Time,Main_Contract_Price,Sub_Contract_Price,Price_Gap
AU2012-AU2106,2020-07-24 13:35:00,419.24,423.28,-4.039999999999964
AU2012-AU2106,2020-07-24 13:36:00,419.24,423.28,-4.039999999999964
AU2012-AU2106,2020-07-24 13:38:00,419.5,423.44,-3.9399999999999977
AU2012-AU2106,2020-07-24 13:39:00,419.6,423.64,-4.039999999999964
AU2012-AU2106,2020-07-24 13:42:00,419.54,423.56,-4.019999999999982
AU2012-AU2106,2020-07-24 13:43:00,419.58,423.44,-3.8600000000000136
AU2012-AU2106,2020-07-24 13:44:00,419.48,423.34,-3.859999999999957
AU2012-AU2106,2020-07-24 13:45:00,419.44,423.46,-4.019999999999982
AU2012-AU2106,2020-07-24 13:47:00,419.44,423.44,-4.0
AU2012-AU2106,2020-07-24 13:48:00,419.12,423.2,-4.079999999999984
AU2012-AU2106,2020-07-24 13:50:00,419.42,423.1,-3.680000000000007
AU2012-AU2106,2020-07-24 13:51:00,419.34,423.32,-3.980000000000018
AU2012-AU2106,2020-07-24 13:52:00,419.6,423.54,-3.9399999999999977
AU2012-AU2106,2020-07-24 13:53:00,419.62,423.38,-3.759999999999991
AU2012-AU2106,2020-07-24 13:54:00,419.56,423.36,-3.8000000000000114
AU2012-AU2106,2020-07-24 13:55:00,419.52,423.42,-3.900000000000034
AU2012-AU2106,2020-07-24 13:56:00,419.52,423.46,-3.9399999999999977
AU2012-AU2106,2020-07-24 13:57:00,419.54,423.44,-3.8999999999999773
AU2012-AU2106,2020-07-24 14:00:00,419.42,423.4,-3.9799999999999613
AU2012-AU2106,2020-07-24 14:01:00,419.66,423.44,-3.7799999999999727
AU2012-AU2106,2020-07-24 14:05:00,419.64,423.42,-3.7800000000000296
AU2012-AU2106,2020-07-24 14:06:00,419.48,423.4,-3.919999999999959
AU2012-AU2106,2020-07-24 14:07:00,419.46,423.38,-3.920000000000016
AU2012-AU2106,2020-07-24 14:08:00,419.48,423.5,-4.019999999999982
AU2012-AU2106,2020-07-24 14:09:00,419.8,423.66,-3.8600000000000136
AU2012-AU2106,2020-07-24 14:10:00,419.76,423.82,-4.060000000000002
AU2012-AU2106,2020-07-24 14:12:00,420.3,424.14,-3.839999999999975
AU2012-AU2106,2020-07-24 14:14:00,420.44,424.48,-4.0400000000000205
AU2012-AU2106,2020-07-24 14:16:00,420.3,424.26,-3.9599999999999795
AU2012-AU2106,2020-07-24 14:17:00,420.24,424.2,-3.9599999999999795
AU2012-AU2106,2020-07-24 14:18:00,420.24,424.36,-4.1200000000000045
AU2012-AU2106,2020-07-24 14:20:00,420.22,424.28,-4.059999999999945
AU2012-AU2106,2020-07-24 14:21:00,419.98,424.2,-4.21999999999997
AU2012-AU2106,2020-07-24 14:22:00,419.9,423.98,-4.080000000000041
AU2012-AU2106,2020-07-24 14:24:00,420.06,424.26,-4.199999999999989
AU2012-AU2106,2020-07-24 14:25:00,419.94,424.2,-4.259999999999991
AU2012-AU2106,2020-07-24 14:27:00,420.24,424.38,-4.139999999999986
AU2012-AU2106,2020-07-24 14:28:00,420.12,424.42,-4.300000000000011
AU2012-AU2106,2020-07-24 14:30:00,420.28,424.52,-4.240000000000009
AU2012-AU2106,2020-07-24 14:31:00,420.26,424.66,-4.400000000000034
AU2012-AU2106,2020-07-24 14:32:00,420.26,424.6,-4.340000000000032
AU2012-AU2106,2020-07-24 14:33:00,420.16,424.42,-4.259999999999991
AU2012-AU2106,2020-07-24 14:34:00,420.16,424.48,-4.319999999999993
AU2012-AU2106,2020-07-24 14:35:00,420.22,424.54,-4.319999999999993
AU2012-AU2106,2020-07-24 14:38:00,420.2,424.56,-4.360000000000014
AU2012-AU2106,2020-07-24 14:39:00,420.14,424.48,-4.340000000000032
AU2012-AU2106,2020-07-24 14:41:00,419.92,424.44,-4.519999999999982
AU2012-AU2106,2020-07-24 14:42:00,419.78,424.24,-4.460000000000036
AU2012-AU2106,2020-07-24 14:43:00,419.86,424.22,-4.360000000000014
AU2012-AU2106,2020-07-24 14:44:00,419.88,424.06,-4.180000000000007
AU2012-AU2106,2020-07-24 14:45:00,419.72,424.04,-4.319999999999993
AU2012-AU2106,2020-07-24 14:46:00,419.8,424.12,-4.319999999999993
AU2012-AU2106,2020-07-24 14:47:00,419.86,424.28,-4.419999999999959
AU2012-AU2106,2020-07-24 14:49:00,419.86,424.06,-4.199999999999989
AU2012-AU2106,2020-07-24 14:50:00,419.76,424.2,-4.439999999999998
AU2012-AU2106,2020-07-24 14:51:00,419.72,424.02,-4.2999999999999545
AU2012-AU2106,2020-07-24 14:52:00,419.64,424.12,-4.480000000000018
