Contract_Name,Time,Main_Contract_Price,Sub_Contract_Price,Price_Gap
C2101-C2105,2020-05-19 21:00:00,2074.0,2118.0,-44.0
C2101-C2105,2020-05-19 21:01:00,2073.0,2115.0,-42.0
C2101-C2105,2020-05-19 21:02:00,2072.0,2113.0,-41.0
C2101-C2105,2020-05-19 21:03:00,2068.0,2109.0,-41.0
C2101-C2105,2020-05-19 21:04:00,2071.0,2110.0,-39.0
C2101-C2105,2020-05-19 21:05:00,2073.0,2113.0,-40.0
C2101-C2105,2020-05-19 21:06:00,2073.0,2114.0,-41.0
C2101-C2105,2020-05-19 21:07:00,2073.0,2115.0,-42.0
C2101-C2105,2020-05-19 21:08:00,2074.0,2116.0,-42.0
C2101-C2105,2020-05-19 21:09:00,2074.0,2115.0,-41.0
C2101-C2105,2020-05-19 21:10:00,2073.0,2115.0,-42.0
C2101-C2105,2020-05-19 21:11:00,2072.0,2113.0,-41.0
C2101-C2105,2020-05-19 21:12:00,2073.0,2115.0,-42.0
C2101-C2105,2020-05-19 21:13:00,2072.0,2115.0,-43.0
C2101-C2105,2020-05-19 21:14:00,2072.0,2115.0,-43.0
C2101-C2105,2020-05-19 21:15:00,2073.0,2116.0,-43.0
C2101-C2105,2020-05-19 21:16:00,2073.0,2116.0,-43.0
C2101-C2105,2020-05-19 21:17:00,2073.0,2115.0,-42.0
C2101-C2105,2020-05-19 21:18:00,2072.0,2115.0,-43.0
C2101-C2105,2020-05-19 21:20:00,2071.0,2114.0,-43.0
C2101-C2105,2020-05-19 21:21:00,2071.0,2114.0,-43.0
C2101-C2105,2020-05-19 21:23:00,2070.0,2111.0,-41.0
C2101-C2105,2020-05-19 21:24:00,2069.0,2111.0,-42.0
C2101-C2105,2020-05-19 21:25:00,2068.0,2110.0,-42.0
C2101-C2105,2020-05-19 21:26:00,2064.0,2106.0,-42.0
C2101-C2105,2020-05-19 21:27:00,2062.0,2107.0,-45.0
C2101-C2105,2020-05-19 21:28:00,2062.0,2105.0,-43.0
C2101-C2105,2020-05-19 21:29:00,2064.0,2106.0,-42.0
C2101-C2105,2020-05-19 21:30:00,2063.0,2104.0,-41.0
C2101-C2105,2020-05-19 21:31:00,2062.0,2105.0,-43.0
C2101-C2105,2020-05-19 21:32:00,2062.0,2105.0,-43.0
C2101-C2105,2020-05-19 21:33:00,2062.0,2105.0,-43.0
C2101-C2105,2020-05-19 21:34:00,2061.0,2104.0,-43.0
C2101-C2105,2020-05-19 21:36:00,2060.0,2104.0,-44.0
C2101-C2105,2020-05-19 21:37:00,2060.0,2104.0,-44.0
C2101-C2105,2020-05-19 21:38:00,2058.0,2103.0,-45.0
C2101-C2105,2020-05-19 21:39:00,2057.0,2102.0,-45.0
C2101-C2105,2020-05-19 21:40:00,2056.0,2100.0,-44.0
C2101-C2105,2020-05-19 21:41:00,2057.0,2102.0,-45.0
C2101-C2105,2020-05-19 21:42:00,2058.0,2102.0,-44.0
C2101-C2105,2020-05-19 21:43:00,2059.0,2104.0,-45.0
C2101-C2105,2020-05-19 21:44:00,2060.0,2104.0,-44.0
C2101-C2105,2020-05-19 21:45:00,2062.0,2105.0,-43.0
C2101-C2105,2020-05-19 21:46:00,2063.0,2105.0,-42.0
C2101-C2105,2020-05-19 21:47:00,2064.0,2106.0,-42.0
C2101-C2105,2020-05-19 21:48:00,2064.0,2107.0,-43.0
C2101-C2105,2020-05-19 21:49:00,2068.0,2109.0,-41.0
C2101-C2105,2020-05-19 21:50:00,2069.0,2110.0,-41.0
C2101-C2105,2020-05-19 21:51:00,2067.0,2112.0,-45.0
C2101-C2105,2020-05-19 21:53:00,2067.0,2111.0,-44.0
C2101-C2105,2020-05-19 21:54:00,2066.0,2110.0,-44.0
C2101-C2105,2020-05-19 21:56:00,2065.0,2109.0,-44.0
C2101-C2105,2020-05-19 21:57:00,2065.0,2109.0,-44.0
C2101-C2105,2020-05-19 21:58:00,2065.0,2109.0,-44.0
C2101-C2105,2020-05-19 22:00:00,2065.0,2109.0,-44.0
C2101-C2105,2020-05-19 22:01:00,2064.0,2109.0,-45.0
C2101-C2105,2020-05-19 22:02:00,2065.0,2109.0,-44.0
C2101-C2105,2020-05-19 22:03:00,2064.0,2109.0,-45.0
C2101-C2105,2020-05-19 22:04:00,2065.0,2109.0,-44.0
C2101-C2105,2020-05-19 22:06:00,2065.0,2109.0,-44.0
C2101-C2105,2020-05-19 22:07:00,2065.0,2109.0,-44.0
C2101-C2105,2020-05-19 22:09:00,2066.0,2108.0,-42.0
C2101-C2105,2020-05-19 22:10:00,2064.0,2108.0,-44.0
C2101-C2105,2020-05-19 22:14:00,2065.0,2108.0,-43.0
C2101-C2105,2020-05-19 22:15:00,2065.0,2108.0,-43.0
C2101-C2105,2020-05-19 22:16:00,2065.0,2107.0,-42.0
C2101-C2105,2020-05-19 22:20:00,2065.0,2107.0,-42.0
C2101-C2105,2020-05-19 22:23:00,2063.0,2106.0,-43.0
C2101-C2105,2020-05-19 22:26:00,2064.0,2105.0,-41.0
C2101-C2105,2020-05-19 22:28:00,2064.0,2104.0,-40.0
C2101-C2105,2020-05-19 22:30:00,2064.0,2107.0,-43.0
C2101-C2105,2020-05-19 22:32:00,2063.0,2106.0,-43.0
C2101-C2105,2020-05-19 22:34:00,2062.0,2104.0,-42.0
C2101-C2105,2020-05-19 22:35:00,2062.0,2103.0,-41.0
C2101-C2105,2020-05-19 22:36:00,2063.0,2103.0,-40.0
C2101-C2105,2020-05-19 22:37:00,2062.0,2103.0,-41.0
C2101-C2105,2020-05-19 22:38:00,2062.0,2102.0,-40.0
C2101-C2105,2020-05-19 22:39:00,2061.0,2102.0,-41.0
C2101-C2105,2020-05-19 22:43:00,2062.0,2103.0,-41.0
C2101-C2105,2020-05-19 22:45:00,2061.0,2102.0,-41.0
C2101-C2105,2020-05-19 22:46:00,2061.0,2100.0,-39.0
C2101-C2105,2020-05-19 22:47:00,2061.0,2101.0,-40.0
C2101-C2105,2020-05-19 22:48:00,2061.0,2101.0,-40.0
C2101-C2105,2020-05-19 22:49:00,2062.0,2101.0,-39.0
C2101-C2105,2020-05-19 22:50:00,2062.0,2101.0,-39.0
C2101-C2105,2020-05-19 22:51:00,2062.0,2101.0,-39.0
C2101-C2105,2020-05-19 22:52:00,2061.0,2101.0,-40.0
C2101-C2105,2020-05-19 22:53:00,2061.0,2102.0,-41.0
C2101-C2105,2020-05-19 22:56:00,2062.0,2100.0,-38.0
C2101-C2105,2020-05-19 22:57:00,2060.0,2101.0,-41.0
C2101-C2105,2020-05-19 22:58:00,2061.0,2099.0,-38.0
C2101-C2105,2020-05-19 22:59:00,2061.0,2097.0,-36.0
C2101-C2105,2020-05-20 09:00:00,2063.0,2100.0,-37.0
C2101-C2105,2020-05-20 09:01:00,2063.0,2100.0,-37.0
C2101-C2105,2020-05-20 09:02:00,2063.0,2100.0,-37.0
C2101-C2105,2020-05-20 09:03:00,2063.0,2102.0,-39.0
C2101-C2105,2020-05-20 09:04:00,2064.0,2101.0,-37.0
C2101-C2105,2020-05-20 09:05:00,2064.0,2102.0,-38.0
C2101-C2105,2020-05-20 09:06:00,2062.0,2102.0,-40.0
C2101-C2105,2020-05-20 09:07:00,2063.0,2102.0,-39.0
C2101-C2105,2020-05-20 09:08:00,2063.0,2103.0,-40.0
C2101-C2105,2020-05-20 09:09:00,2062.0,2101.0,-39.0
C2101-C2105,2020-05-20 09:10:00,2061.0,2096.0,-35.0
C2101-C2105,2020-05-20 09:11:00,2061.0,2095.0,-34.0
C2101-C2105,2020-05-20 09:12:00,2060.0,2094.0,-34.0
C2101-C2105,2020-05-20 09:13:00,2061.0,2093.0,-32.0
C2101-C2105,2020-05-20 09:14:00,2060.0,2091.0,-31.0
C2101-C2105,2020-05-20 09:15:00,2061.0,2091.0,-30.0
C2101-C2105,2020-05-20 09:16:00,2062.0,2091.0,-29.0
C2101-C2105,2020-05-20 09:17:00,2063.0,2094.0,-31.0
C2101-C2105,2020-05-20 09:18:00,2062.0,2095.0,-33.0
C2101-C2105,2020-05-20 09:19:00,2064.0,2095.0,-31.0
C2101-C2105,2020-05-20 09:21:00,2064.0,2094.0,-30.0
C2101-C2105,2020-05-20 09:22:00,2064.0,2092.0,-28.0
C2101-C2105,2020-05-20 09:23:00,2063.0,2093.0,-30.0
C2101-C2105,2020-05-20 09:24:00,2064.0,2090.0,-26.0
C2101-C2105,2020-05-20 09:25:00,2063.0,2090.0,-27.0
C2101-C2105,2020-05-20 09:28:00,2064.0,2090.0,-26.0
C2101-C2105,2020-05-20 09:29:00,2064.0,2092.0,-28.0
C2101-C2105,2020-05-20 09:31:00,2065.0,2092.0,-27.0
C2101-C2105,2020-05-20 09:32:00,2065.0,2090.0,-25.0
C2101-C2105,2020-05-20 09:34:00,2065.0,2090.0,-25.0
C2101-C2105,2020-05-20 09:35:00,2065.0,2090.0,-25.0
C2101-C2105,2020-05-20 09:37:00,2064.0,2090.0,-26.0
C2101-C2105,2020-05-20 09:38:00,2063.0,2090.0,-27.0
C2101-C2105,2020-05-20 09:39:00,2063.0,2088.0,-25.0
C2101-C2105,2020-05-20 09:41:00,2063.0,2090.0,-27.0
C2101-C2105,2020-05-20 09:45:00,2063.0,2087.0,-24.0
C2101-C2105,2020-05-20 09:46:00,2063.0,2087.0,-24.0
C2101-C2105,2020-05-20 09:48:00,2063.0,2087.0,-24.0
C2101-C2105,2020-05-20 09:50:00,2063.0,2087.0,-24.0
C2101-C2105,2020-05-20 09:52:00,2063.0,2089.0,-26.0
C2101-C2105,2020-05-20 09:53:00,2064.0,2090.0,-26.0
C2101-C2105,2020-05-20 09:56:00,2063.0,2090.0,-27.0
C2101-C2105,2020-05-20 09:57:00,2064.0,2088.0,-24.0
C2101-C2105,2020-05-20 09:58:00,2063.0,2088.0,-25.0
C2101-C2105,2020-05-20 10:02:00,2064.0,2090.0,-26.0
C2101-C2105,2020-05-20 10:04:00,2065.0,2090.0,-25.0
C2101-C2105,2020-05-20 10:06:00,2064.0,2090.0,-26.0
C2101-C2105,2020-05-20 10:07:00,2063.0,2088.0,-25.0
C2101-C2105,2020-05-20 10:08:00,2063.0,2090.0,-27.0
C2101-C2105,2020-05-20 10:09:00,2064.0,2090.0,-26.0
