Time,Main Contract,Sub-main Contract
0,3000.0,2958.0
1,3020.7,2966.33
2,3028.25,2964.66
3,3041.27,2895.29
4,3053.13,2973.75
5,3056.79,2943.69
6,3079.1,2995.96
7,3072.63,2931.29
8,3062.49,3007.37
9,3055.45,2954.62
10,3050.26,3004.51
11,3078.02,2954.9
12,3061.71,2945.37
13,3051.3,3017.74
14,3029.03,2992.68
15,3045.08,2990.27
16,3056.35,2927.98
17,3082.94,3039.78
18,3077.39,2963.53
19,3082.31,2934.36
20,3097.41,2985.9
21,3107.32,3038.96
22,3108.25,3002.57
23,3087.42,3056.55
24,3114.28,3070.68
25,3128.61,3091.07
26,3157.71,3069.29
27,3132.45,2978.96
28,3120.86,3045.96
29,3151.76,3085.57
30,3141.36,2987.43
31,3149.21,3086.23
32,3123.07,3082.47
33,3114.64,3021.2
34,3093.46,2988.28
35,3109.86,3060.1
36,3108.62,3015.36
37,3136.91,3030.26
38,3135.66,3091.76
39,3150.4,3014.93
40,3163.0,3131.37
41,3184.82,3082.91
42,3158.39,3088.91
43,3176.08,3125.26
44,3154.17,3050.08
45,3124.84,3065.47
46,3135.78,3026.03
47,3108.81,2959.59
48,3126.22,3076.2
49,3119.65,3044.78
50,3090.64,2954.65
51,3086.93,3003.58
52,3084.46,2942.57
53,3084.77,2986.06
54,3067.8,3030.99
55,3050.31,3010.66
56,3065.56,2952.13
57,3088.25,2973.98
58,3064.78,2994.29
59,3093.59,2997.69
60,3082.76,2953.28
61,3092.32,2999.55
62,3115.51,2997.12
63,3092.14,3017.93
64,3098.32,3017.76
65,3072.29,2989.34
66,3083.04,2953.55
67,3081.81,2986.27
68,3078.42,2955.28
69,3091.04,2951.94
70,3065.38,2948.9
71,3073.35,2931.98
72,3089.64,2996.95
73,3119.3,3028.84
74,3128.35,3093.94
75,3127.41,3086.75
76,3141.17,3043.79
77,3116.04,3066.18
78,3138.16,3056.57
79,3130.0,3064.27
80,3134.38,3012.14
81,3152.87,3105.58
82,3162.96,3052.26
83,3192.06,3080.34
84,3221.11,3111.59
85,3193.09,3071.75
86,3174.25,3050.45
87,3178.69,3070.61
88,3150.08,3024.08
89,3168.35,3073.3
90,3188.63,3051.52
91,3184.17,3044.07
92,3198.18,3127.82
93,3218.97,3161.03
94,3223.8,3075.51
95,3219.29,3180.66
96,3238.93,3109.37
97,3225.33,3167.27
98,3248.87,3183.89
99,3280.06,3158.7
100,3259.4,3119.25
101,3253.53,3207.98
102,3265.57,3154.54
103,3258.71,3222.86
104,3241.11,3150.36
105,3221.34,3115.04
106,3190.09,3123.1
107,3166.48,3011.32
108,3181.68,3048.05
109,3163.86,3091.09
110,3177.46,3098.02
111,3150.45,3100.04
112,3155.49,3060.83
113,3133.4,3102.07
114,3109.27,3000.45
115,3085.64,3048.61
116,3097.37,3050.91
117,3106.97,3054.15
118,3084.6,2961.22
119,3105.27,3071.11
120,3083.22,2999.97
121,3086.61,3012.53
122,3080.75,2969.84
123,3079.21,3017.63
124,3064.12,2993.65
125,3063.81,2974.96
126,3034.4,2894.82
127,3005.27,2939.15
128,2979.42,2836.41
129,3004.45,2929.34
130,3014.97,2960.7
131,3003.81,2916.7
132,2974.97,2933.32
133,2994.31,2946.4
134,2980.24,2899.77
135,3001.7,2920.65
136,2974.08,2852.14
137,2968.43,2873.44
138,2955.67,2896.56
139,2953.6,2835.46
140,2965.41,2826.04
141,2943.47,2890.49
142,2968.2,2891.03
143,2963.75,2836.31
144,2988.35,2841.92
145,3002.69,2954.65
146,3014.7,2866.98
147,2985.16,2925.46
148,2976.5,2928.88
149,2963.11,2900.88
150,2940.0,2819.46
151,2948.53,2889.56
152,2949.41,2890.42
153,2930.83,2848.77
154,2916.47,2773.56
155,2924.05,2845.1
156,2942.47,2865.97
157,2931.88,2799.95
158,2915.17,2786.9
159,2926.83,2803.9
160,2951.71,2821.83
161,2945.81,2901.62
162,2955.53,2887.55
163,2970.31,2881.2
164,2994.96,2857.19
165,3005.44,2888.23
166,3031.89,2986.41
167,3022.49,2880.43
168,3030.95,2918.8
169,3053.99,2913.51
170,3031.7,2998.35
171,3054.44,2999.46
172,3027.26,2891.03
173,3046.63,2915.62
174,3069.18,2955.62
175,3079.0,2965.08
176,3072.84,2956.07
177,3048.87,2899.48
178,3079.05,3029.79
179,3094.75,2977.15
180,3095.37,3036.56
181,3075.25,2936.86
182,3094.01,2945.5
183,3086.58,3012.5
184,3071.15,2997.44
185,3057.02,2925.57
186,3066.5,2962.24
187,3060.37,2980.8
188,3077.51,2985.18
189,3093.82,2982.44
190,3095.68,3049.24
191,3120.14,3085.82
192,3135.12,2997.17
193,3125.09,3071.96
194,3113.21,3010.47
195,3084.57,3019.79
196,3092.9,3037.23
197,3099.4,3000.22
198,3126.05,3044.77
199,3117.61,3073.96
200,3140.06,3055.28
201,3134.72,3015.6
202,3151.33,3047.34
203,3126.43,3095.17
204,3152.69,3070.72
205,3160.57,3015.18
206,3186.8,3116.69
207,3198.27,3041.55
208,3225.46,3151.27
209,3214.82,3179.46
210,3210.32,3104.38
211,3183.35,3122.87
212,3201.81,3121.76
213,3185.8,3147.57
214,3172.1,3026.18
215,3188.59,3137.57
216,3181.26,3054.01
217,3151.36,3066.27
218,3161.44,3126.66
219,3181.04,3139.69
220,3149.87,3008.13
221,3131.6,3084.63
222,3142.25,3095.12
223,3144.76,3056.71
224,3149.48,3036.1
225,3160.5,3056.2
226,3183.26,3090.95
227,3167.03,3094.19
228,3177.48,3139.35
229,3167.95,3038.06
230,3183.16,3081.3
231,3201.62,3150.39
232,3214.43,3175.86
233,3230.82,3146.82
234,3246.33,3197.64
235,3252.17,3219.65
236,3256.72,3106.91
237,3242.39,3128.91
238,3251.79,3092.45
239,3248.21,3170.25
240,3216.38,3090.94
241,3243.4,3126.64
242,3234.97,3163.8
243,3233.03,3168.37
244,3252.1,3170.8
245,3243.97,3110.97
246,3273.81,3198.51
247,3266.61,3224.14
248,3236.88,3084.75
249,3231.38,3127.98
250,3231.38,3195.83
251,3258.2,3150.68
252,3266.35,3233.69
253,3273.21,3204.47
254,3302.34,3180.15
255,3293.09,3204.18
256,3289.14,3157.57
257,3302.63,3253.09
258,3319.14,3272.67
259,3323.79,3240.7
260,3338.08,3301.36
261,3322.06,3239.01
262,3330.03,3190.17
263,3320.37,3167.63
264,3315.72,3199.67
265,3336.28,3276.23
266,3314.93,3159.13
267,3337.47,3190.62
268,3358.83,3204.32
269,3340.36,3300.28
270,3343.37,3266.47
271,3311.61,3165.9
272,3291.74,3146.9
273,3276.27,3214.02
274,3286.75,3171.71
275,3286.42,3125.39
276,3291.02,3136.34
277,3317.02,3247.36
278,3311.71,3242.16
279,3302.11,3156.82
280,3316.64,3183.97
281,3301.05,3182.21
282,3322.18,3222.51
283,3339.46,3252.63
284,3361.17,3230.08
285,3336.97,3206.83
286,3348.65,3258.24
287,3367.07,3323.3
288,3337.44,3257.34
289,3307.4,3188.33
290,3297.81,3264.83
291,3317.27,3207.8
292,3328.55,3198.74
293,3298.26,3202.61
294,3271.54,3186.48
295,3240.79,3117.64
296,3265.42,3141.33
297,3271.62,3117.85
298,3301.39,3241.96
299,3315.92,3163.39
300,3340.79,3200.48
301,3331.77,3218.49
302,3319.44,3180.02
303,3290.56,3178.68
304,3312.94,3183.74
305,3332.82,3252.83
306,3342.15,3188.41
307,3310.4,3164.74
308,3323.64,3213.96
309,3310.35,3181.25
310,3332.53,3182.57
311,3307.2,3181.53
312,3292.65,3167.53
313,3308.45,3202.58
314,3299.52,3226.93
315,3281.7,3245.6
316,3301.72,3196.06
317,3269.69,3201.03
318,3282.44,3229.92
319,3299.18,3210.1
320,3295.55,3236.23
321,3320.93,3178.13
322,3320.6,3187.78
323,3339.53,3192.59
324,3313.82,3254.17
325,3316.14,3233.24
326,3305.2,3215.96
327,3297.93,3212.18
328,3284.41,3245.0
329,3255.84,3203.75
330,3269.84,3181.55
331,3264.28,3169.62
332,3274.4,3113.95
333,3263.27,3155.58
334,3274.04,3129.98
335,3281.57,3245.47
336,3308.15,3189.06
337,3331.31,3264.68
338,3363.62,3282.89
339,3388.85,3232.96
340,3377.33,3323.29
341,3364.5,3320.76
342,3333.21,3239.88
343,3316.21,3220.04
344,3311.9,3242.35
345,3296.67,3204.36
346,3326.34,3223.22
347,3345.63,3288.75
348,3318.86,3156.24
349,3321.18,3185.01
350,3333.47,3216.8
351,3312.8,3206.79
352,3296.24,3250.09
353,3326.9,3233.75
354,3331.56,3271.59
355,3305.24,3258.97
356,3331.68,3191.75
357,3363.33,3205.25
358,3368.04,3297.31
359,3397.68,3356.91
360,3416.37,3283.13
361,3427.3,3269.64
362,3451.98,3338.06
363,3439.21,3329.16
364,3462.6,3414.12
365,3450.83,3333.5
366,3480.51,3393.5
367,3461.72,3357.87
368,3443.03,3367.28
369,3420.31,3324.54
370,3450.75,3395.54
371,3425.56,3350.2
372,3427.62,3283.66
373,3444.07,3399.3
374,3476.79,3424.64
375,3464.97,3336.77
376,3471.21,3391.37
377,3455.94,3345.35
378,3459.4,3345.24
379,3463.21,3355.85
380,3445.2,3345.29
381,3466.22,3348.37
382,3454.09,3312.47
383,3466.87,3331.66
384,3443.3,3391.65
385,3460.17,3325.22
386,3471.24,3349.75
387,3503.18,3335.03
388,3491.97,3457.05
389,3509.08,3438.9
390,3536.45,3384.38
391,3559.08,3391.8
392,3578.65,3482.03
393,3584.02,3515.92
394,3581.15,3420.0
395,3579.0,3514.58
396,3610.5,3567.17
397,3614.83,3499.16
398,3641.22,3593.88
399,3650.32,3518.91
400,3678.06,3589.79
401,3714.47,3677.33
402,3679.18,3561.45
403,3702.73,3554.62
404,3734.94,3645.3
405,3748.39,3647.18
406,3737.14,3636.24
407,3766.29,3664.6
408,3799.43,3689.25
409,3791.07,3624.26
410,3789.55,3615.23
411,3783.49,3715.39
