Time,Main_Contract_Price,Sub_Contract_Price,Price_Gap,MA,SDx2,SDx-2,Buy_Symbol,Buy_Price,Sell_Symbol,Sell_Price,Transaction_Type
2020-08-20 02:06:00,6213.0,6307.0,-94.0,-69.26567695961995,-48.45967445604418,-90.07167946319572,AG2012,6213.0,AG2106,6307.0,Open
2020-08-20 02:07:00,6180.0,6248.0,-68.0,-69.26745843230404,-48.464458981946294,-90.07045788266178,AG2106,6248.0,AG2012,6180.0,Close
2020-08-20 02:15:00,6088.0,6180.0,-92.0,-69.28206650831353,-48.48083247680087,-90.0833005398262,AG2012,6088.0,AG2106,6180.0,Open
2020-08-27 01:12:00,6053.0,6126.0,-73.0,-75.29429928741092,-56.58067707817587,-94.00792149664598,AG2106,6126.0,AG2012,6053.0,Close
2020-08-27 22:01:00,6000.0,6100.0,-100.0,-76.11935866983373,-57.60064142257044,-94.63807591709701,AG2012,6000.0,AG2106,6100.0,Open
2020-09-02 14:56:00,6222.0,6303.0,-81.0,-81.05118764845605,-64.54714605071969,-97.55522924619241,AG2106,6303.0,AG2012,6222.0,Close
2020-09-03 22:08:00,6094.0,6193.0,-99.0,-82.48919239904988,-67.57908018429632,-97.39930461380345,AG2012,6094.0,AG2106,6193.0,Open
2020-09-17 02:00:00,5929.0,6021.0,-92.0,-93.5437054631829,-77.0053559368497,-110.08205498951611,AG2106,6021.0,AG2012,5929.0,Close
2020-09-17 02:29:00,5934.0,6046.0,-112.0,-93.60676959619953,-77.05644337344071,-110.15709581895834,AG2012,5934.0,AG2106,6046.0,Open
2020-09-21 22:40:00,5238.0,5333.0,-95.0,-96.80522565320665,-79.4585468088189,-114.1519044975944,AG2106,5333.0,AG2012,5238.0,Close
2020-09-21 22:47:00,5295.0,5410.0,-115.0,-96.82553444180523,-79.4822776973106,-114.16879118629987,AG2012,5295.0,AG2106,5410.0,Open
2020-09-22 14:33:00,5238.0,5333.0,-95.0,-97.9293349168646,-80.70449608728406,-115.15417374644515,AG2106,5333.0,AG2012,5238.0,Close
2020-09-22 21:11:00,5281.0,5398.0,-117.0,-97.9916864608076,-80.78889430403454,-115.19447861758066,AG2012,5281.0,AG2106,5398.0,Open
2020-09-22 22:00:00,5203.0,5301.0,-98.0,-98.12066508313539,-80.97067793203216,-115.27065223423863,AG2106,5301.0,AG2012,5203.0,Close
