Time,Main_Contract_Price,Sub_Contract_Price,Price_Gap,MA,SDx2,SDx-2,Buy_Symbol,Buy_Price,Sell_Symbol,Sell_Price,Transaction_Type
2020-08-12 09:32:00,417.16,421.24,-4.079999999999984,-5.337398734177236,-4.0869833590158695,-6.587814109338602,AU2106,421.24,AU2012,417.16,Open
2020-08-12 21:00:00,418.44,424.72,-6.28000000000003,-5.336107594936747,-4.079016119074078,-6.593199070799416,AU2012,418.44,AU2106,424.72,Close
2020-08-17 22:56:00,429.98,436.6,-6.6200000000000045,-5.705784810126595,-5.032641104474149,-6.37892851577904,AU2012,429.98,AU2106,436.6,Open
2020-08-17 23:00:00,430.38,435.92,-5.5400000000000205,-5.706493670886089,-5.034882425504047,-6.378104916268131,AU2106,435.92,AU2012,430.38,Close
2020-08-18 22:06:00,432.8,437.6,-4.800000000000012,-5.734310126582312,-5.113084534763765,-6.35553571840086,AU2106,437.6,AU2012,432.8,Open
2020-08-18 22:07:00,430.66,436.8,-6.139999999999987,-5.734474683544338,-5.113094781586299,-6.355854585502377,AU2012,430.66,AU2106,436.8,Close
2020-08-18 22:30:00,426.0,432.5,-6.5,-5.735759493670918,-5.113971308449426,-6.35754767889241,AU2012,426.0,AU2106,432.5,Open
2020-08-18 22:31:00,426.84,432.54,-5.7000000000000455,-5.735772151898766,-5.113988509205053,-6.357555794592479,AU2106,432.54,AU2012,426.84,Close
2020-08-18 22:38:00,427.7,434.2,-6.5,-5.736240506329146,-5.1137650417715514,-6.358715970886741,AU2012,427.7,AU2106,434.2,Open
2020-08-18 22:40:00,428.66,434.18,-5.519999999999981,-5.736265822784843,-5.113662829087802,-6.358868816481885,AU2106,434.18,AU2012,428.66,Close
2020-08-18 22:45:00,429.8,434.84,-5.039999999999964,-5.736303797468387,-5.113495741595984,-6.3591118533407895,AU2106,434.84,AU2012,429.8,Open
2020-08-18 22:46:00,429.66,435.4,-5.739999999999952,-5.736259493670919,-5.113472420776637,-6.3590465665652,AU2012,429.66,AU2106,435.4,Close
2020-08-19 23:25:00,423.52,429.9,-6.379999999999996,-5.742582278481047,-5.11691605820628,-6.368248498755814,AU2012,423.52,AU2106,429.9,Open
2020-08-19 23:31:00,424.36,430.0,-5.639999999999987,-5.742563291139274,-5.1168882585571165,-6.368238323721432,AU2106,430.0,AU2012,424.36,Close
2020-08-20 01:25:00,422.98,429.36,-6.379999999999996,-5.745791139240536,-5.117728175853114,-6.373854102627958,AU2012,422.98,AU2106,429.36,Open
2020-08-20 02:02:00,425.72,431.24,-5.519999999999981,-5.746018987341802,-5.117797684358763,-6.374240290324842,AU2106,431.24,AU2012,425.72,Close
2020-08-20 02:28:00,420.12,426.72,-6.600000000000023,-5.747151898734206,-5.117489455726049,-6.376814341742363,AU2012,420.12,AU2106,426.72,Open
2020-08-20 09:02:00,421.46,427.02,-5.560000000000002,-5.747373417721548,-5.117622667480584,-6.377124167962512,AU2106,427.02,AU2012,421.46,Close
2020-08-22 02:25:00,416.2,422.66,-6.4600000000000355,-5.787284810126618,-5.167046312083265,-6.407523308169971,AU2012,416.2,AU2106,422.66,Open
2020-08-24 09:16:00,414.44,420.16,-5.720000000000027,-5.7890126582278825,-5.167545351128118,-6.410479965327647,AU2106,420.16,AU2012,414.44,Close
2020-08-26 21:02:00,414.96,420.06,-5.100000000000024,-5.771189873417748,-5.145582955864192,-6.396796790971303,AU2106,420.06,AU2012,414.96,Open
2020-08-27 22:06:00,416.66,422.5,-5.839999999999975,-5.720082278481042,-5.029186223954069,-6.410978333008016,AU2012,416.66,AU2106,422.5,Close
2020-08-27 22:13:00,417.16,422.0,-4.839999999999974,-5.71876582278484,-5.027007451346031,-6.410524194223648,AU2106,422.0,AU2012,417.16,Open
2020-08-27 23:10:00,416.5,422.3,-5.800000000000012,-5.710341772151926,-5.0239667698897525,-6.3967167744141,AU2012,416.5,AU2106,422.3,Close
2020-08-28 22:51:00,422.16,427.32,-5.159999999999968,-5.711784810126586,-5.190546440459545,-6.233023179793627,AU2106,427.32,AU2012,422.16,Open
2020-08-31 14:21:00,422.44,428.26,-5.819999999999991,-5.697727848101261,-5.178753909782737,-6.216701786419785,AU2012,422.44,AU2106,428.26,Close
2020-08-31 22:48:00,423.58,428.7,-5.1200000000000045,-5.685721518987343,-5.168537046742911,-6.202905991231775,AU2106,428.7,AU2012,423.58,Open
2020-09-01 10:08:00,426.3,432.02,-5.71999999999997,-5.679063291139244,-5.16364869779858,-6.194477884479907,AU2012,426.3,AU2106,432.02,Close
2020-09-01 22:01:00,424.46,430.74,-6.28000000000003,-5.668316455696208,-5.154104822486545,-6.182528088905871,AU2012,424.46,AU2106,430.74,Open
2020-09-01 22:02:00,424.7,430.3,-5.600000000000024,-5.668436708860764,-5.154466904076313,-6.182406513645215,AU2106,430.3,AU2012,424.7,Close
2020-09-01 22:50:00,424.82,429.88,-5.060000000000001,-5.665829113924056,-5.153576915974726,-6.178081311873387,AU2106,429.88,AU2012,424.82,Open
2020-09-01 22:51:00,425.1,430.86,-5.759999999999992,-5.665620253164563,-5.154060702209005,-6.1771798041201205,AU2012,425.1,AU2106,430.86,Close
2020-09-02 02:28:00,424.68,429.82,-5.139999999999986,-5.661797468354438,-5.151906952103627,-6.171687984605248,AU2106,429.82,AU2012,424.68,Open
2020-09-02 02:29:00,424.7,430.44,-5.740000000000008,-5.661886075949376,-5.152038562000335,-6.171733589898416,AU2012,424.7,AU2106,430.44,Close
2020-09-03 14:57:00,414.9,421.08,-6.180000000000009,-5.655715189873442,-5.155495315874381,-6.155935063872503,AU2012,414.9,AU2106,421.08,Open
2020-09-03 21:03:00,416.5,422.06,-5.560000000000002,-5.655759493670912,-5.155519377581551,-6.155999609760273,AU2106,422.06,AU2012,416.5,Close
2020-09-08 21:43:00,411.6,417.8,-6.199999999999988,-5.668329113924059,-5.184035797732012,-6.152622430116105,AU2012,411.6,AU2106,417.8,Open
2020-09-08 23:44:00,416.72,422.36,-5.639999999999987,-5.668689873417728,-5.1847488714176455,-6.1526308754178105,AU2106,422.36,AU2012,416.72,Close
2020-09-15 10:14:00,420.22,426.4,-6.17999999999995,-5.647525316455727,-5.205344402445389,-6.089706230466065,AU2012,420.22,AU2106,426.4,Open
2020-09-15 10:30:00,420.38,425.8,-5.420000000000017,-5.64753164556965,-5.205364335437677,-6.089698955701623,AU2106,425.8,AU2012,420.38,Close
2020-09-17 02:02:00,418.48,424.8,-6.319999999999991,-5.683702531645603,-5.32876952898414,-6.038635534307066,AU2012,418.48,AU2106,424.8,Open
2020-09-17 02:07:00,417.5,423.0,-5.5,-5.683848101265857,-5.3289947935347115,-6.038701408997003,AU2106,423.0,AU2012,417.5,Close
2020-09-17 21:00:00,414.96,421.1,-6.140000000000043,-5.696632911392453,-5.36425865166282,-6.029007171122086,AU2012,414.96,AU2106,421.1,Open
2020-09-17 21:01:00,415.32,420.84,-5.519999999999981,-5.696677215189922,-5.3644345345946824,-6.028919895785162,AU2106,420.84,AU2012,415.32,Close
2020-09-18 22:00:00,416.24,421.58,-5.339999999999974,-5.713601265822852,-5.419830079196725,-6.00737245244898,AU2106,421.58,AU2012,416.24,Open
2020-09-18 23:34:00,417.38,423.18,-5.800000000000012,-5.714620253164624,-5.423648702041669,-6.0055918042875795,AU2012,417.38,AU2106,423.18,Close
2020-09-19 00:33:00,418.8,424.1,-5.300000000000012,-5.714886075949433,-5.424459837819955,-6.005312314078911,AU2106,424.1,AU2012,418.8,Open
2020-09-19 01:28:00,418.18,423.96,-5.779999999999973,-5.715392405063358,-5.427568566406711,-6.003216243720006,AU2012,418.18,AU2106,423.96,Close
2020-09-21 22:38:00,403.88,409.92,-6.0400000000000205,-5.718911392405128,-5.439375179961042,-5.998447604849215,AU2012,403.88,AU2106,409.92,Open
2020-09-21 22:41:00,400.78,406.38,-5.600000000000024,-5.71929113924057,-5.439178078921269,-5.999404199559872,AU2106,406.38,AU2012,400.78,Close
2020-09-21 22:42:00,402.98,409.4,-6.419999999999959,-5.719556962025379,-5.438380534702879,-6.00073338934788,AU2012,402.98,AU2106,409.4,Open
2020-09-21 22:43:00,403.6,409.16,-5.560000000000002,-5.719569620253228,-5.438425539929112,-6.000713700577345,AU2106,409.16,AU2012,403.6,Close
2020-09-21 22:45:00,403.78,409.9,-6.1200000000000045,-5.719765822784872,-5.43831022334007,-6.001221422229674,AU2012,403.78,AU2106,409.9,Open
2020-09-21 22:57:00,405.18,410.48,-5.300000000000012,-5.721696202531707,-5.435139523274998,-6.008252881788415,AU2106,410.48,AU2012,405.18,Close
2020-09-21 22:58:00,405.2,411.32,-6.1200000000000045,-5.721848101265884,-5.434956016725874,-6.008740185805895,AU2012,405.2,AU2106,411.32,Open
2020-09-21 23:19:00,404.58,410.1,-5.5200000000000395,-5.723962025316516,-5.430009481425165,-6.017914569207868,AU2106,410.1,AU2012,404.58,Close
2020-09-21 23:28:00,405.26,411.28,-6.019999999999982,-5.724126582278539,-5.429881712286863,-6.018371452270215,AU2012,405.26,AU2106,411.28,Open
2020-09-21 23:47:00,406.18,411.78,-5.599999999999965,-5.72561392405069,-5.4285999591759655,-6.022627888925415,AU2106,411.78,AU2012,406.18,Close
2020-09-21 23:48:00,406.2,412.3,-6.100000000000023,-5.725715189873474,-5.428408968719379,-6.02302141102757,AU2012,406.2,AU2106,412.3,Open
2020-09-22 02:25:00,407.18,412.82,-5.639999999999987,-5.730955696202583,-5.423911224772365,-6.038000167632802,AU2106,412.82,AU2012,407.18,Close
