Time,Main_Contract_Price,Sub_Contract_Price,Price_Gap,MA,SDx2,SDx-2,Buy_Symbol,Buy_Price,Sell_Symbol,Sell_Price,Transaction_Type
2020-07-02 22:25:00,3826.0,3934.0,-108.0,-100.90444444444445,-95.11945472819569,-106.68943416069321,TA101,3826.0,TA105,3934.0,Open
2020-07-03 14:36:00,3830.0,3930.0,-100.0,-100.91666666666667,-95.11250895557674,-106.7208243777566,TA105,3930.0,TA101,3830.0,Close
2020-07-06 14:05:00,3842.0,3950.0,-108.0,-100.79444444444445,-95.19923662618882,-106.38965226270008,TA101,3842.0,TA105,3950.0,Open
2020-07-06 14:57:00,3840.0,3940.0,-100.0,-100.83222222222223,-95.1813967978344,-106.48304764661006,TA105,3940.0,TA101,3840.0,Close
2020-07-06 21:04:00,3834.0,3942.0,-108.0,-100.83888888888889,-95.17864103830959,-106.49913673946818,TA101,3834.0,TA105,3942.0,Open
2020-07-06 21:19:00,3838.0,3936.0,-98.0,-100.85333333333334,-95.18602066346696,-106.52064600319972,TA105,3936.0,TA101,3838.0,Close
2020-07-07 09:07:00,3830.0,3938.0,-108.0,-100.88166666666666,-95.18588845699885,-106.57744487633447,TA101,3830.0,TA105,3938.0,Open
2020-07-14 22:10:00,3770.0,3874.0,-104.0,-104.31055555555555,-96.84874772181264,-111.77236338929846,TA105,3874.0,TA101,3770.0,Close
2020-07-14 22:11:00,3766.0,3878.0,-112.0,-104.31444444444445,-96.85120312584803,-111.77768576304086,TA101,3766.0,TA105,3878.0,Open
2020-07-16 11:27:00,3774.0,3878.0,-104.0,-105.36833333333334,-97.79836958119492,-112.93829708547176,TA105,3878.0,TA101,3774.0,Close
2020-07-16 13:54:00,3764.0,3878.0,-114.0,-105.43833333333333,-97.93230648746757,-112.9443601791991,TA101,3764.0,TA105,3878.0,Open
2020-07-16 21:26:00,3754.0,3858.0,-104.0,-105.67166666666667,-98.34641924479536,-112.99691408853798,TA105,3858.0,TA101,3754.0,Close
2020-07-17 11:11:00,3736.0,3850.0,-114.0,-106.00666666666666,-98.83413408233707,-113.17919925099625,TA101,3736.0,TA105,3850.0,Open
2020-07-17 11:29:00,3734.0,3840.0,-106.0,-106.05111111111111,-98.8867372438575,-113.21548497836473,TA105,3840.0,TA101,3734.0,Close
2020-07-17 13:39:00,3706.0,3820.0,-114.0,-106.07722222222222,-98.91844018255466,-113.23600426188978,TA101,3706.0,TA105,3820.0,Open
2020-07-17 13:49:00,3716.0,3822.0,-106.0,-106.10055555555556,-98.94976831618659,-113.25134279492453,TA105,3822.0,TA101,3716.0,Close
2020-07-17 14:59:00,3724.0,3838.0,-114.0,-106.24555555555555,-99.14660980858443,-113.34450130252668,TA101,3724.0,TA105,3838.0,Open
2020-07-17 21:00:00,3730.0,3836.0,-106.0,-106.24777777777778,-99.15415293252956,-113.34140262302601,TA105,3836.0,TA101,3730.0,Close
2020-07-20 21:07:00,3704.0,3818.0,-114.0,-106.88777777777777,-100.170805770616,-113.60474978493954,TA101,3704.0,TA105,3818.0,Open
2020-07-21 09:27:00,3730.0,3836.0,-106.0,-107.16444444444444,-100.6794907013392,-113.64939818754968,TA105,3836.0,TA101,3730.0,Close
2020-07-21 10:14:00,3726.0,3840.0,-114.0,-107.25,-100.84225600492134,-113.65774399507866,TA101,3726.0,TA105,3840.0,Open
2020-07-21 10:59:00,3726.0,3832.0,-106.0,-107.28777777777778,-100.91282486044045,-113.6627306951151,TA105,3832.0,TA101,3726.0,Close
2020-07-21 22:10:00,3742.0,3856.0,-114.0,-107.60777777777778,-101.64427087925043,-113.57128467630514,TA101,3742.0,TA105,3856.0,Open
2020-07-21 22:41:00,3728.0,3834.0,-106.0,-107.65722222222222,-101.72671681506677,-113.58772762937767,TA105,3834.0,TA101,3728.0,Close
2020-07-22 09:08:00,3734.0,3848.0,-114.0,-107.70833333333333,-101.82177492620093,-113.59489174046573,TA101,3734.0,TA105,3848.0,Open
2020-07-22 09:19:00,3732.0,3838.0,-106.0,-107.72333333333333,-101.855431184168,-113.59123548249866,TA105,3838.0,TA101,3732.0,Close
2020-07-22 21:05:00,3714.0,3828.0,-114.0,-107.95611111111111,-102.23857102994577,-113.67365119227645,TA101,3714.0,TA105,3828.0,Open
